AUDIO_LOG_IRS_01,0,2.2,^2Irons: ^7没有一个父亲应该失去自己的儿子。
AUDIO_LOG_IRS_01,2.5,4.6,^2Irons: ^7这违背了自然规律。
AUDIO_LOG_IRS_01,4.9,8.1,^2Irons: ^7没有儿子，就没有未来。我一生都在
AUDIO_LOG_IRS_01,8.2,12.3,"^2Irons: ^7fighting stupidity and cowardice for a better world, where good people "
AUDIO_LOG_IRS_01,12.4,16.1,^2Irons: ^7能够无忧无虑地繁荣发展。我知道代价，
AUDIO_LOG_IRS_01,16.2,21,^2Irons: ^7我每天都看到它，我接受它。但我无法接受这个。
AUDIO_LOG_IRS_01,21.1,25.3,^2Irons: ^7威尔的悲剧不能白费。我会确保这一点。
AUDIO_LOG_IRS_01,26.3,28,^2Irons: ^7This is not where it ends. This is where it begins. 
AUDIO_LOG_IRS_02,0,3.2,^2Irons: ^7我今天去看望了米切尔。吉迪恩正在狠揍他，
AUDIO_LOG_IRS_02,3.3,6.5,^2Irons: ^7但他会到位的。他头脑清醒，
AUDIO_LOG_IRS_02,6.6,11.5,^2Irons: ^7有着和威尔一样的决心。我明白他们为什么那么要好了。
AUDIO_LOG_IRS_02,11.6,15.6,"^2Irons: ^7The Marines, in their infinite wisdom, deemed him unfit for duty. "
AUDIO_LOG_IRS_02,15.7,19.2,"^2Irons: ^7\Can't fight with one arm.\"" Never tell a soldier what he can't do."""
AUDIO_LOG_IRS_02,19.3,22.4,^2Irons: ^7如果有人值得第二次机会，那就是像米切尔这样的人。
AUDIO_LOG_IRS_02,22.5,27.2,^2Irons: ^7Give me an army of men like him and there's nothing Atlas can't do. 
AUDIO_LOG_IRS_03,0,4.3,^2Irons: ^7拉各斯——如果有什么政府无能的更好例子，我还没见过。
AUDIO_LOG_IRS_03,4.4,8.1,^2Irons: ^7KVA走进来就像这是他们的地盘一样，就像他们有权
AUDIO_LOG_IRS_03,8.2,12.2,^2Irons: ^7拿走任何他们想要的东西。无可奈何，官员们来找我。
AUDIO_LOG_IRS_03,12.3,17.3,^2Irons: ^7他们震惊了，几个装备精良的人就能让一个如此伟大，
AUDIO_LOG_IRS_03,18.3,22.2,^2Irons: ^7如此强大的国家屈服。他们问，他们是怎样的人？
AUDIO_LOG_IRS_03,22.3,25.9,^2Irons: ^7我告诉他们，他们只是愿意不惜一切代价
AUDIO_LOG_IRS_03,26,30,^2Irons: ^7来实现目标的人。没有感情，没有偏见。
AUDIO_LOG_IRS_03,30.1,35,"^2Irons: ^7Once you understand this most basic of facts, you have everything you need. "
AUDIO_LOG_IRS_04,0,3.8,^2Irons: ^7地面核电站自诞生以来一直是
AUDIO_LOG_IRS_04,3.9,8.1,^2Irons: ^7since their inception. In 2048 Atlas submitted a lengthy report 
AUDIO_LOG_IRS_04,8.2,10.6,^2Irons: ^7to The Defense Department on the security risks. 
AUDIO_LOG_IRS_04,10.7,14,^2Irons: ^7我猜他们不喜欢那些发现，因为他们把报告压了下来。
AUDIO_LOG_IRS_04,14.1,16.9,^2Irons: ^7I think they gave us the security contract just to shut us up. 
AUDIO_LOG_IRS_04,17,20.1,^2Irons: ^7但那不是接受这份工作的原因。
AUDIO_LOG_IRS_04,20.2,24.1,^2Irons: ^7我接这份合同是因为阿特拉斯能给纳税人
AUDIO_LOG_IRS_04,24.2,29.9,"^2Irons: ^7the best return on their buck. We spent millions on concrete reinforcements, "
AUDIO_LOG_IRS_04,30,33.9,^2Irons: ^7我们建造了防空系统，但我们最大的成就是？
AUDIO_LOG_IRS_04,34,38.8,^2Irons: ^7消除人为错误。你可以把你的防御建得
AUDIO_LOG_IRS_04,38.9,43.4,^2Irons: ^7尽可能坚固，但人类始终是任何系统中最薄弱的环节。
AUDIO_LOG_IRS_04,43.5,47.6,^2Irons: ^7当攻击真的来临时——我毫不怀疑它会来——
AUDIO_LOG_IRS_04,47.7,54.2,^2Irons: ^7记住我的话，那一定是因为有人没锁门。
AUDIO_LOG_IRS_04,54.3,57.3,^2Irons: ^7You can't protect what you can't control. 
AUDIO_LOG_IRS_05,0,4.5,^2Irons: ^7领导者领导。成败取决于我们做出的选择。
AUDIO_LOG_IRS_05,4.6,8.8,^2Irons: ^7抓捕达诺瓦博士并将他绳之以法将是在追捕哈迪斯的过程中
AUDIO_LOG_IRS_05,8.9,12.2,^2Irons: ^7迈出的决定性一步。但如果我们可以利用他来防止
AUDIO_LOG_IRS_05,12.3,16.3,^2Irons: ^7未来的反人类罪行，那么起诉这个人的罪行
AUDIO_LOG_IRS_05,16.4,20,"^2Irons: ^7future crimes against humanity? Hundreds, maybe thousands, "
AUDIO_LOG_IRS_05,20.1,24.5,^2Irons: ^7人死在了这个人的实验下，但如果这些成果
AUDIO_LOG_IRS_05,24.6,29,^2Irons: ^7could one day benefit humanity and save lives? Is it wrong 
AUDIO_LOG_IRS_05,29.1,33.1,^2Irons: ^7利用这些知识，不管它是如何获得的，这有错吗？
AUDIO_LOG_IRS_05,33.2,37.4,^2Irons: ^7尊重死者是天经地义的。
AUDIO_LOG_IRS_05,37.5,40.2,^2Irons: ^7honor them than to give the meaning to their demise? 
AUDIO_LOG_IRS_05,40.3,44.3,^2Irons: ^7科学数据存在于任何道德框架之外。
AUDIO_LOG_IRS_05,44.4,49.3,^2Irons: ^7它是一种可以用于好或坏的资源，选择在我们手中。
AUDIO_LOG_IRS_05,49.4,52.9,^2Irons: ^7但如果选择什么都不做，那就根本不是选择。
AUDIO_LOG_IRS_05,53,57.1,^2Irons: ^7It is to accept that innocent people died for nothing. 
AUDIO_LOG_IRS_06,0,5,^2Irons: ^7A mission of this scale is a serious endeavor in the best of circumstances. 
AUDIO_LOG_IRS_06,5.1,8.3,"^2Irons: ^7Operating in the middle of a busy tourist destination is, "
AUDIO_LOG_IRS_06,8.4,15.2,^2Irons: ^7毫无疑问是极端冒险的。但风险正是我们成功的关键。
AUDIO_LOG_IRS_06,15.3,20.2,^2Irons: ^7哈迪斯赌的是我们的人性。没有任何政府能承受
AUDIO_LOG_IRS_06,20.3,24.2,^2Irons: ^7数百名无辜游客在一次失败任务中被杀的公众抗议。
AUDIO_LOG_IRS_06,24.3,29.9,^2Irons: ^7哈迪斯知道这一点。但我们不是政府，我们的权力并非来自
AUDIO_LOG_IRS_06,30,33.7,^2Irons: ^7民众授权。政府本可以阻止我们，
AUDIO_LOG_IRS_06,33.8,38.5,"^2Irons: ^7the United Nations could've stopped us, but they didn't. Why? "
AUDIO_LOG_IRS_06,38.6,44,^2Irons: ^7Because they think I've stepped into my own trap. They've seen what Atlas can do 
AUDIO_LOG_IRS_06,44.1,48,^2Irons: ^7他们知道阿特拉斯已经变得多么强大。他们害怕了，
AUDIO_LOG_IRS_06,48.1,52.8,^2Irons: ^7他们更怕我而不是怕哈迪斯。KVA在逃，
AUDIO_LOG_IRS_06,52.9,57.5,^2Irons: ^7还有谁留下来打乱他们的现状？他们看着我们，而不是
AUDIO_LOG_IRS_06,57.6,62.2,^2Irons: ^7看到我们的成功，他们看到的是一个威胁。一个太强大而无法控制，
AUDIO_LOG_IRS_06,62.3,65.9,^2Irons: ^7太强大而无法阻止的人，所以他们赌我们会失败。
AUDIO_LOG_IRS_06,66,71.4,^2Irons: ^7他们害怕是对的。对我们来说，失败不是选项。
AUDIO_LOG_IRS_06,71.5,76.7,^2Irons: ^7只要我们提着哈迪斯的头回来，就没人想阻止我们。
AUDIO_LOG_IRS_06,76.8,78.4,^2Irons: ^7They'll want to follow us. 
AUDIO_LOG_IRS_07,0,4.3,^2Irons: ^7If you want to sell people on your vision - show them. 
AUDIO_LOG_IRS_07,4.4,8.3,^2Irons: ^7他们把世界的这一部分称为文明的摇篮。
AUDIO_LOG_IRS_07,8.4,12.6,^2Irons: ^7一万年来，它一直是贸易和文化的中心。
AUDIO_LOG_IRS_07,12.7,19,^2Irons: ^7国王、哈里发、独裁者和暴君的家园。我看到的关于战争的
AUDIO_LOG_IRS_07,19.1,23.7,^2Irons: ^7第一张画面就来自这个地方。二十年内两场战争，
AUDIO_LOG_IRS_07,23.8,28.7,^2Irons: ^7却没什么可展示的。我看到了如果不有效进行，
AUDIO_LOG_IRS_07,28.8,33.8,^2Irons: ^7战争会如何迅速变成泥潭。如果有哪个地方代表了
AUDIO_LOG_IRS_07,33.9,38.1,^2Irons: ^7治理的彻底失败，那就是巴格达。当我们的领导者
AUDIO_LOG_IRS_07,38.2,44.8,^2Irons: ^7把这个地方留给它的命运时，我抓住这个机会来掌握我们的命运。
AUDIO_LOG_IRS_07,44.9,49.9,"^2Irons: ^7Fifty years of rot, and we rebuilt it in five. "
AUDIO_LOG_IRS_07,50,54.2,^2Irons: ^7如今新巴格达不仅仅是一座繁荣的城市，
AUDIO_LOG_IRS_07,54.3,57.8,^2Irons: ^7it's a symbol of what's to come. 
AUDIO_LOG_IRS_08,0,5,^2Irons: ^7在这样的日子里，很难记得进步是什么样子的。
AUDIO_LOG_IRS_08,5.1,11.1,^2Irons: ^7数十亿美元，多年的研究。人体不是一台
AUDIO_LOG_IRS_08,11.2,16.7,^2Irons: ^7我们可以随便重组的机器。组织损伤需要时间愈合，
AUDIO_LOG_IRS_08,16.8,24.6,^2Irons: ^7细胞需要时间生长。我们是凡人，时间从来不是我们的朋友。
AUDIO_LOG_IRS_08,24.7,28.2,^2Irons: ^7我们已经成功加速了生长过程，但细胞在
AUDIO_LOG_IRS_08,28.3,31.9,^2Irons: ^7一段时间后无法自我维持。
